Date,Term_Premium,Risk_Premium,Stock_Prices_mom%_change,Stock_Prices_mom24mma%_change,Stock_Market_Volatility,REER,Current_Account_Balance_change_yryr%,Current_Account_Balance_over_GDP,One-Day_Repo_Rate_AVG,One-Day_Repo_Rate_EOP,Policy_Rate_&_Fed_Funds_Rate_Differential_AVG,Policy_Rate_&_Fed_Funds_Rate_Differential_EOP,Portfolio_Flows,Foreign_Exchange_Reserve_change_yryr%,Foreign_Exchange_Reserve_over_GDP,CPI yryrl,Bank Lending yryr%,Bank_Lending_mo12m%_change
2015-01,-0.4,-1.2,-0.6196344835878305,0.9052934714766796,-591.2550437701051,86.78453256,58.8904929827468,1.6765082323272895,2.1,2.1,2.04,2.04,618.0,-6.364262069331195,1.2327050827288957,-1.4098924379501647,-1.76980000666667,0.3599075687165052
2015-02,-0.44,-0.98,10.1582911548231,1.003753840344999,-677.9341934772831,89.55650702,259.647989168897,2.402387539125716,2.1,2.1,2.04,2.04,-1563.0,-11.934999827585946,1.304558341265891,-1.005033585350145,-1.807781948903189,0.8027483635530439
2015-03,-0.69,-1.42,8.12166155322927,1.086759843540935,-631.0797413049481,89.22997443,640.589698414344,3.771326960494869,2.065909090909091,1.95,2.005909090909091,1.89,-301.0,-20.506341781574065,1.3941217479487529,-0.6018072325563021,-1.5770282160193012,0.9752209834629992
2015-04,-0.62,-1.4,14.847256053584813,1.2428780067160417,-1180.3316947729925,89.6025821,-1309.18689559897,4.517671887678933,1.9,1.8,1.82,1.72,69.0,-16.787360222990632,1.4272008116689294,-0.3004509020298724,-1.37917629333333,1.0787253913034576
2015-05,-0.56,-1.41,-1.0335894458187989,1.217963911025394,-953.1479994472876,88.81441749,-324.81737012987,4.071615206931203,1.7785714285714287,1.65,1.6985714285714286,1.5699999999999998,-1256.0,-17.601480146223246,1.4234471343922894,0.4987541511038968,-1.449154639744984,1.9479087908488808
2015-06,-0.88,-1.65,-2.1252760432446176,1.1837145504679092,-281.5393913578493,87.67200544,-251.651068338337,2.794335217486056,1.6159090909090907,1.5,1.535909090909091,1.42,-494.0,-21.458805560254056,1.3611364266743633,0.5982071677547469,-1.7567382507484104,2.3549454185031573
2015-07,-0.9,-1.64,3.131333284329685,1.2129168805146493,-346.9462822495125,87.63413605,103.450532193334,1.8379888388219527,1.4478260869565216,1.35,1.3678260869565215,1.27,-323.0,-19.7962610367914,1.27743165760384,0.3992021269537457,-2.22869503,2.627897156953745
2015-08,-1.0,-1.56,-5.281511037014053,1.1385738857807086,-401.3208904056589,88.4723336,-22.9392022008253,1.7137689791645965,1.35,1.35,1.27,1.27,-458.0,-19.842471240973737,1.2210183159338577,0.0,-2.7247032608473383,2.7247032608473383
2015-09,-0.94,-1.32,-2.346191685809705,1.1040344220140117,-578.3153889446428,88.38650952,-36.5007378334737,2.0993993996031795,1.35,1.35,1.28,1.28,-541.0,-20.23274607400728,1.1747496075517418,-0.4008021397538822,-2.961516618160724,2.5607144784068416
2015-10,-0.91,-1.29,3.175463148201679,1.1335258026271458,-448.6701670568007,88.75264325,-42.6637692969351,2.21731541508462,1.35,1.35,1.28,1.28,-1319.0,-17.877828172704557,1.1126955762005826,0.0999500333083423,-2.64323885333333,2.7431888866416725
